sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
"JS0A2T3A-BLACK WHITE FLOURESCENT PINK MISS ZEBRA",,Default,simple,"Jansports,Jansports/Offers",base,"JS0A2T3A-BLACK WHITE FLOURESCENT PINK MISS ZEBRA",,,56.0000,1,"Taxable Goods","Not Visible Individually",56.0000,,,,js0a2t3a-black-white-flourescent-pink-miss-zebra,"WOMENS NODE BACKPACK","WOMENS NODE BACKPACK"," ",/t/z/tzr6_zs8_1_1.jpg,,/t/z/tzr6_zs8_1_1.jpg,,/t/z/tzr6_zs8_1_1.jpg,,/t/z/tzr6_zs8_1_1.jpg,,"10/20/16, 8:23 AM","10/20/16, 8:23 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,"color=BLACK WHITE FLOURESCENT PINK MISS ZEBRA,device=LAPTOP,shop_by=DEPORTES,size=Small,style=T26Z",56.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/t/z/tzr6_zs8_1_1.jpg,,,,,,,,,,,,
JS0A2T3A-BLACK-2,,Default,simple,"Jansports,Jansports/Offers",base,JS0A2T3A-BLACK,,,56.0000,1,"Taxable Goods","Not Visible Individually",56.0000,,,,js0a2t3a-black,"WOMENS NODE BACKPACK","WOMENS NODE BACKPACK"," ",/t/z/tzr6_zs8_2.jpg,,/t/z/tzr6_zs8_2.jpg,,/t/z/tzr6_zs8_2.jpg,,/t/z/tzr6_zs8_2.jpg,,"10/20/16, 8:23 AM","10/20/16, 8:23 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,"color=BLACK,device=LAPTOP,shop_by=DEPORTES,size=Small,style=T26Z",56.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/t/z/tzr6_zs8_2.jpg,,,,,,,,,,,,
"24-WG085-HIGH RISH RED",,Default,simple,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Online Exclusive,Jansports/Offers",base,"24-WG085-HIGH RISH RED","<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and urable under strain.</p>
<ul>
<li>100% soft and durable cotton.</li>
<li>Plastic cinch buckle is easy to use.</li>
<li>Three natural colors made from phthalate and heavy metal free dyes.</li>
</ul>",,1.0000,1,"Taxable Goods","Not Visible Individually",56.0000,,,,24-wg085-high-rish-red,"Meta Title","meta1, meta2, meta3","meta description",/t/y/typ7_9ze_detail1.jpg,,/t/y/typ7_9ze_detail1.jpg,,/t/y/typ7_9ze_detail1.jpg,,/t/y/typ7_9ze_detail1.jpg,,"10/20/16, 7:50 AM","10/20/16, 7:50 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"color=HIGH RISH RED,device=LAPTOP,main_color=test,shop_by=DEPORTES,size=Small,style=T26Z",56.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/t/y/typ7_9ze_detail1.jpg,,,,,,,,,,,,
"24-WG085-MAMMOTH BLUE",,Default,simple,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Online Exclusive,Jansports/Offers",base,"24-WG085-MAMMOTH BLUE","<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and urable under strain.</p>
<ul>
<li>100% soft and durable cotton.</li>
<li>Plastic cinch buckle is easy to use.</li>
<li>Three natural colors made from phthalate and heavy metal free dyes.</li>
</ul>",,1.0000,1,"Taxable Goods","Not Visible Individually",56.0000,,,,24-wg085-mammoth-blue,"Meta Title","meta1, meta2, meta3","meta description",/t/z/tzr6_0b4.jpg,,/t/z/tzr6_0b4.jpg,,/t/z/tzr6_0b4.jpg,,/t/z/tzr6_0b4.jpg,,"10/20/16, 7:50 AM","10/20/16, 7:50 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"color=MAMMOTH BLUE,device=LAPTOP,main_color=test,shop_by=DEPORTES,size=Small,style=T26Z",56.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/t/z/tzr6_0b4.jpg,,,,,,,,,,,,
24-WG087,,Default,simple,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Online Exclusive,Jansports/Offers",base,"Sprite Yoga Strap 10 foot","<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.</p><ul><li>10' long x 1.0"" wide.<li>100% soft and durable cotton.<li>Plastic cinch buckle is easy to use.<li>Three natural colors made from phthalate and heavy metal free dyes.</ul>",,1.0000,1,"Taxable Goods","Catalog, Search",21.0000,,,,sprite-yoga-strap-10-foot,"Meta Title","meta1, meta2, meta5","meta description",,,,,,,,,"10/19/16, 11:24 AM","10/19/16, 11:24 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"bullet_ingles=test,bullet_ingles_spanish=test,capacidad=test,color=BLACK,device=LAPTOP|IPAD|TABLET,device_size=test,dimensiones=test 23,laptop_size=test,main_color=test,peso=test,shop_by=DEPORTES|PROMOTION,size=Small,style=T26Z,tela=test 2",100.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,24-WG086,1,24-WG086,1,24-WG086,1,,,,,,,,,,,,,
24-WG086,,Default,simple,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Online Exclusive,Jansports/Offers",base,"Sprite Yoga Strap 8 foot","<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.</p><ul><li>8' long x 1.0"" wide.<li>100% soft and durable cotton.<li>Plastic cinch buckle is easy to use.<li>Three natural colors made from phthalate and heavy metal free dyes.</ul>",,1.0000,1,"Taxable Goods","Catalog, Search",17.0000,,,,sprite-yoga-strap-8-foot,"Meta Title","meta1, meta2, meta4","meta description",,,,,,,,,"10/19/16, 11:24 AM","10/19/16, 11:24 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"bullet_ingles=test,bullet_ingles_spanish=test,capacidad=test,device=LAPTOP|IPAD,device_size=test,dimensiones=test,laptop_size=test,main_color=test,peso=test,shop_by=DEPORTES|EVERYDAY|WORK,size=Small,style=T26Z,tela=test 1",100.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,24-WG087,1,24-WG087,1,24-WG087,1,,,,,,,,,,,,,
"Test Payment ",,Default,simple,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Online Exclusive,Jansports/Offers",base,"Test Payment ",,,12.0000,1,"Taxable Goods","Catalog, Search",1.0000,,,,test-payment,"Test Payment ","Test Payment ","Test Payment  ",,,,,,,,,"10/20/16, 5:47 AM","10/20/16, 5:47 AM",,"10/20/16, 12:00 AM","Block after Info Column",,,,"Use config",,,,,,,,,,96.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
JS0A2T3A-BLACK,,Default,simple,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Online Exclusive,Jansports/Offers",base,JS0A2T3A-BLACK,"<p>Carry your digital stuff like a girl, with Women's Node. Holds a laptop, tablet, headphones and cords in comfort, with shorter strap length, narrower strap width and lower ladderlock adjustment.</p>","<p>Carry your digital stuff like a girl, with Women's Node. Holds a laptop, tablet, headphones and cords in comfort, with shorter strap length, narrower strap width and lower ladderlock adjustment.</p>",45.0000,1,"Taxable Goods","Catalog, Search",52.0000,,,,js0a2t3a-black,"WOMENS NODE BACKPACK","WOMENS NODE BACKPACK","WOMENS NODE BACKPACK ",/t/z/tzu9_008_model.jpg,,/t/z/tzu9_008_model.jpg,,/t/z/tzu9_008_model.jpg,,/t/z/tzu9_008_model.jpg,,"10/20/16, 7:10 AM","10/20/16, 7:10 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,"color=BLACK,device=LAPTOP,shop_by=DEPORTES,size=Small,style=T26Z",25.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/t/z/tzu9_008_model.jpg,,,,,,,,,,,,
"JS0A2T3A-GREY TAR",,Default,simple,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Online Exclusive,Jansports/Offers",base,"JS0A2T3A-GREY TAR","<p>Carry your digital stuff like a girl, with Women's Node. Holds a laptop, tablet, headphones and cords in comfort, with shorter strap length, narrower strap width and lower ladderlock adjustment.</p>","<p>Carry your digital stuff like a girl, with Women's Node. Holds a laptop, tablet, headphones and cords in comfort, with shorter strap length, narrower strap width and lower ladderlock adjustment.</p>",45.0000,1,"Taxable Goods","Not Visible Individually",52.0000,,,,js0a2t3a-grey-tar,"WOMENS NODE BACKPACK","WOMENS NODE BACKPACK","WOMENS NODE BACKPACK ",/t/z/tzu9_008_model_3.jpg,,/t/z/tzu9_008_model_3.jpg,,/t/z/tzu9_008_model_3.jpg,,/t/z/tzu9_008_model_3.jpg,,"10/20/16, 7:10 AM","10/20/16, 7:10 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,"color=GREY TAR,device=LAPTOP,shop_by=DEPORTES,size=Small,style=T26Z",25.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/t/z/tzu9_008_model_3.jpg,,,,,,,,,,,,
"JS0A2T3A-HIGH RISH RED",,Default,simple,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Online Exclusive,Jansports/Offers",base,"JS0A2T3A-HIGH RISH RED","<p>Carry your digital stuff like a girl, with Women's Node. Holds a laptop, tablet, headphones and cords in comfort, with shorter strap length, narrower strap width and lower ladderlock adjustment.</p>","<p>Carry your digital stuff like a girl, with Women's Node. Holds a laptop, tablet, headphones and cords in comfort, with shorter strap length, narrower strap width and lower ladderlock adjustment.</p>",45.0000,1,"Taxable Goods","Not Visible Individually",52.0000,,,,js0a2t3a-high-rish-red,"WOMENS NODE BACKPACK","WOMENS NODE BACKPACK","WOMENS NODE BACKPACK ",/t/z/tzu9_008_model_1.jpg,,/t/z/tzu9_008_model_1.jpg,,/t/z/tzu9_008_model_1.jpg,,/t/z/tzu9_008_model_1.jpg,,"10/20/16, 7:10 AM","10/20/16, 7:10 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,"color=HIGH RISH RED,device=LAPTOP,shop_by=DEPORTES,size=Small,style=T26Z",25.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/t/z/tzu9_008_model_1.jpg,,,,,,,,,,,,
"JS0A2T3A-PINK PANSY",,Default,simple,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Online Exclusive,Jansports/Offers",base,"JS0A2T3A-PINK PANSY","<p>Carry your digital stuff like a girl, with Women's Node. Holds a laptop, tablet, headphones and cords in comfort, with shorter strap length, narrower strap width and lower ladderlock adjustment.</p>","<p>Carry your digital stuff like a girl, with Women's Node. Holds a laptop, tablet, headphones and cords in comfort, with shorter strap length, narrower strap width and lower ladderlock adjustment.</p>",45.0000,1,"Taxable Goods","Not Visible Individually",52.0000,,,,js0a2t3a-pink-pansy,"WOMENS NODE BACKPACK","WOMENS NODE BACKPACK","WOMENS NODE BACKPACK ",/t/z/tzu9_008_model_2.jpg,,/t/z/tzu9_008_model_2.jpg,,/t/z/tzu9_008_model_2.jpg,,/t/z/tzu9_008_model_2.jpg,,"10/20/16, 7:10 AM","10/20/16, 7:10 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,"color=PINK PANSY,device=LAPTOP,shop_by=DEPORTES,size=Small,style=T26Z",25.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/t/z/tzu9_008_model_2.jpg,,,,,,,,,,,,
24-WG085-BLACK,,Default,simple,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Online Exclusive,Jansports/Offers",base,24-WG085-BLACK,"<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and urable under strain.</p>
<ul>
<li>100% soft and durable cotton.</li>
<li>Plastic cinch buckle is easy to use.</li>
<li>Three natural colors made from phthalate and heavy metal free dyes.</li>
</ul>",,1.0000,1,"Taxable Goods","Not Visible Individually",56.0000,,,,24-wg085-black,"Meta Title","meta1, meta2, meta3","meta description",/t/z/tzr6_0er.jpg,,/t/z/tzr6_0er.jpg,,/t/z/tzr6_0er.jpg,,/t/z/tzr6_0er.jpg,,"10/20/16, 7:50 AM","10/20/16, 7:50 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"color=BLACK,device=LAPTOP,main_color=test,shop_by=DEPORTES,size=Small,style=T26Z",56.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/t/z/tzr6_0er.jpg,,,,,,,,,,,,
24-WG085_Group,,Default,grouped,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Online Exclusive,Jansports/Offers",base,"Set of Sprite Yoga Straps","<p>Great set of Sprite Yoga Straps for every stretch and hold you need. There are three straps in this set: 6', 8' and 10'.</p><ul><li>100% soft and durable cotton.</li><li>Plastic cinch buckle is easy to use.</li><li>Choice of three natural colors made from phthalate and heavy metal free dyes.</li></ul>",,,1,,"Catalog, Search",,,,,set-of-sprite-yoga-straps,"Meta Title","meta1, meta2, meta6","meta description",,,,,,,,,"10/19/16, 11:24 AM","10/19/16, 11:24 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,"bullet_ingles=test ,bullet_ingles_spanish=test,capacidad=test,device=LAPTOP|IPAD|TABLET,device_size=test,dimensiones=test,laptop_size=test,main_color=test,peso=test,shop_by=DEPORTES,size=Small,style=T26Z",0.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,"24-WG086,24-WG087","1,2","24-WG086,24-WG087","1,2","24-WG086,24-WG087","1,2",,,,,,,,,,,,,"24-WG085=5.0000,24-WG086=5.0000"
JS0A2T3A,,Default,configurable,"Jansports,Jansports/Offers",base,"WOMENS NODE BACKPACK",,,,1,"Taxable Goods","Catalog, Search",45.0000,,,,womens-node-backpack,"WOMENS NODE BACKPACK","WOMENS NODE BACKPACK"," ",,,,,,,,,"10/20/16, 8:21 AM","10/20/16, 8:23 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,"device=LAPTOP,shop_by=DEPORTES,size=Small,style=T26Z",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,"sku=JS0A2T3A-BERRYLICIOUS DITZI DAYSI,color=BERRYLICIOUS DITZI DAYSI|sku=JS0A2T3A-BLACK WHITE FLOURESCENT PINK MISS ZEBRA,color=BLACK WHITE FLOURESCENT PINK MISS ZEBRA|sku=JS0A2T3A-BLACK-2,color=BLACK|sku=JS0A2T3A-MAMMOTH BLUE-1,color=MAMMOTH BLUE",,
24-WG085-bundle-dynamic,,Default,bundle,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Online Exclusive,Jansports/Offers",base,"Sprite Yoga Strap Dynamic Bundle","<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.</p><ul><li>100% soft and durable cotton.<li>Plastic cinch buckle is easy to use.<li>Three natural colors made from phthalate and heavy metal free dyes.</ul>",,1.0000,1,"Taxable Goods","Catalog, Search",14.0000,,,,sprite-yoga-strap2,"Meta Title","meta1, meta2, meta8","meta description",,,,,,,,,"10/19/16, 11:24 AM","10/19/16, 11:26 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"bullet_ingles=test 3,bullet_ingles_spanish=test 5,capacidad=test 4,device=LAPTOP|IPAD|TABLET,device_size=test 2,dimensiones=test,laptop_size=test 7,main_color=test,peso=test6 8,shop_by=DEPORTES|EVERYDAY|WORK,size=Small,style=T26Z,tela=test",0.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,"24-WG086,24-WG087","1,2","24-WG086,24-WG087","1,2","24-WG086,24-WG087","1,2",,,,,dynamic,dynamic,"Price range",fixed,"name=Bundle Option One1,type=select,required=1,sku=24-WG086,price=0.0000,default=1,default_qty=1.0000,price_type=fixed",together,,,
24-WG085-bundle-fixed,,Default,bundle,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Online Exclusive,Jansports/Offers",base,"Sprite Yoga Strap Fixed Bundle","<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.</p><ul><li>100% soft and durable cotton.<li>Plastic cinch buckle is easy to use.<li>Three natural colors made from phthalate and heavy metal free dyes.</ul>",,1.0000,1,"Taxable Goods","Catalog, Search",14.0000,,,,sprite-yoga-strap3,"Meta Title","meta1, meta2, meta9","meta description",,,,,,,,,"10/19/16, 11:24 AM","10/19/16, 11:27 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,0.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,"24-WG086,24-WG087","1,2","24-WG086,24-WG087","1,2","24-WG086,24-WG087","1,2",,,,,fixed,fixed,"Price range",fixed,"name=Yoga Strap,type=radio,required=1,sku=24-WG086,price=0.0000,default=1,default_qty=3.0000,price_type=percent",together,,,
24-WG085,,Default,configurable,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Online Exclusive,Jansports/Offers",base,"WOMENS NODE BACKPACK","<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and urable under strain.</p>
<ul>
<li>100% soft and durable cotton.</li>
<li>Plastic cinch buckle is easy to use.</li>
<li>Three natural colors made from phthalate and heavy metal free dyes.</li>
</ul>",,1.0000,1,"Taxable Goods","Catalog, Search",14.0000,,,,sprite-yoga-strap-6-foot,"Meta Title","meta1, meta2, meta3","meta description",/j/s/js00t70f_008_2.jpg,,/j/s/js00t70f_008_2.jpg,,/j/s/js00t70f_008_2.jpg,,/j/s/js00t70f_008_2.jpg,,"10/19/16, 11:24 AM","10/20/16, 7:50 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"bullet_ingles=test,bullet_ingles_spanish=test,capacidad=test,device=LAPTOP|IPAD,device_size=34,dimensiones=test,laptop_size=test,main_color=test,peso=test,shop_by=DEPORTES,size=Small,style=T26Z,tela=Test",0.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,"24-WG086,24-WG087","1,2","24-WG086,24-WG087","1,2","24-WG086,24-WG087","1,2",/j/s/js00t70f_008_2.jpg,,,"name=Custom Yoga Option,type=drop_down,required=0,price=10.0000,price_type=fixed,sku=,option_title=Gold|name=Custom Yoga Option,type=drop_down,required=0,price=10.0000,price_type=fixed,sku=,option_title=Silver|name=Custom Yoga Option,type=drop_down,required=0,price=10.0000,price_type=fixed,sku=yoga3sku,option_title=Platinum",,,,,,,"sku=24-WG085-BLACK,color=BLACK|sku=24-WG085-BLACK MULTI SHORT CIRCUIT,color=BLACK MULTI SHORT CIRCUIT|sku=24-WG085-MAMMOTH BLUE,color=MAMMOTH BLUE|sku=24-WG085-PINK PANSY PRESTON PLAID,color=PINK PANSY PRESTON PLAID|sku=24-WG085-HIGH RISH RED,color=HIGH RISH RED|sku=24-WG085-PINK PANSY,color=PINK PANSY",,
